player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Brandon Drury,5.12,8,14,CWS,Brandon Drury ,243,0.212,0.033,6,4,23,7,22,7,0,2,314,,668.0,425.0
Miguel Amaya,5.14,7,16,CHC,Miguel Amaya ,308,0.224,0.037,6,4,24,8,30,9,0,3,307,,667.0,359.0
Jacob Young,5.14,7,14,WSH,Jacob Young ,517,0.254,0.037,2,5,50,16,33,13,32,12,189,,667.0,150.0
Brett Baty,5.14,7,15,NYM,Brett Baty ,106,0.224,0.036,2,1,8,2,8,2,0,1,392,,667.0,561.0
Jose Miranda,5.14,7,14,MIN,Jose Miranda ,398,0.256,0.034,8,5,35,11,39,12,1,3,221,,667.0,269.0
Gabriel Arias,5.14,7,14,CLE,Gabriel Arias ,134,0.216,0.034,2,1,10,3,9,3,2,1,364,,667.0,533.0
Bo Naylor,5.17,6,14,CLE,Bo Naylor ,410,0.213,0.037,12,7,37,12,37,12,5,4,188,,667.0,257.0
Seth Brown,5.22,9,15,ATH,Seth Brown ,338,0.23,0.033,12,6,31,10,41,11,3,3,199,,666.0,328.0
Wilmer Flores,5.25,8,14,SF,Wilmer Flores ,366,0.235,0.034,10,6,36,11,42,12,0,3,230,,666.0,300.0
Jose Siri,5.25,8,15,NYM,Jose Siri ,372,0.203,0.033,15,7,44,12,39,12,10,6,161,,666.0,294.0
Will Brennan,5.29,7,14,CLE,Will Brennan ,251,0.267,0.037,3,3,20,7,17,6,3,3,315,,665.0,414.0
Austin Barnes,5.29,7,17,LAD,Austin Barnes ,133,0.225,0.031,1,1,11,3,10,3,1,1,359,,665.0,532.0
Miguel Rojas,5.33,9,17,LAD,Miguel Rojas ,163,0.26,0.034,2,2,18,5,14,4,3,2,339,,664.0,501.0
Patrick Bailey,5.33,6,14,SF,Patrick Bailey ,450,0.235,0.036,7,5,34,12,41,13,2,4,220,,664.0,214.0
Nolan Jones,5.33,9,15,COL,Nolan Jones ,487,0.25,0.038,9,6,44,14,43,14,10,7,168,,664.0,177.0
Zach McKinstry,5.33,6,14,DET,Zach McKinstry ,216,0.219,0.031,3,2,22,6,16,6,7,4,291,,664.0,448.0
Rowdy Tellez,5.38,8,17,SEA,Rowdy Tellez ,136,0.231,0.034,4,2,12,4,17,4,0,1,354,,663.0,527.0
Pete Crow-Armstrong,5.5,8,16,CHC,Pete Crow-Armstrong ,525,0.239,0.046,6,5,30,12,28,12,17,9,225,,661.0,136.0
Ramon Laureano,5.5,6,13,BAL,Ramon Laureano ,227,0.242,0.033,6,3,25,7,23,7,5,3,261,,661.0,434.0
Brandon Marsh,5.5,8,14,PHI,Brandon Marsh ,493,0.258,0.035,13,8,58,16,59,17,13,8,98,,661.0,168.0
Alejandro Kirk,5.5,8,15,TOR,Alejandro Kirk ,414,0.251,0.034,8,5,33,11,50,14,0,4,219,,661.0,247.0
Max Muncy,5.5,12,15,ATH,Max Muncy ,518,0.23,0.036,28,12,80,20,84,20,2,5,78,,661.0,143.0
Max Kepler,5.5,6,14,PHI,Max Kepler ,450,0.249,0.034,13,7,54,15,52,15,2,4,158,,661.0,211.0
Michael Siani,5.57,7,15,STL,Michael Siani ,242,0.232,0.046,1,2,15,6,7,4,7,4,344,,660.0,418.0
Zack Gelof,5.57,7,15,ATH,Zack Gelof ,584,0.233,0.037,16,9,55,17,45,16,20,10,117,,660.0,76.0
Amed Rosario,5.57,7,14,WSH,Amed Rosario ,231,0.275,0.038,2,2,25,7,22,7,6,3,278,,660.0,429.0
Jose Caballero,5.57,7,15,TB,Jose Caballero ,301,0.229,0.036,4,3,29,9,21,8,21,7,254,,660.0,359.0
Ty France,5.57,7,14,MIN,Ty France ,375,0.245,0.033,9,5,38,12,38,11,1,3,231,,660.0,285.0
Mauricio Dubon,5.67,6,14,HOU,Mauricio Dubon ,344,0.264,0.035,5,4,41,11,35,11,3,3,224,,658.0,314.0
Luis Urias,5.67,6,15,ATH,Luis Urias ,217,0.204,0.033,6,3,23,7,26,7,0,2,322,,658.0,441.0
Jarred Kelenic,5.67,6,14,ATL,Jarred Kelenic ,214,0.222,0.033,6,3,22,7,22,6,4,2,279,,658.0,444.0
Ezequiel Duran,5.67,6,16,TEX,Ezequiel Duran ,196,0.253,0.033,3,2,19,6,15,5,2,2,338,,658.0,462.0
Joey Gallo,5.71,7,14,CWS,Joey Gallo ,180,0.176,0.032,8,3,19,5,20,6,1,1,311,,657.0,477.0
Vidal Brujan,5.71,7,16,CHC,Vidal Brujan ,118,0.211,0.038,0,1,7,3,5,2,1,1,398,,657.0,539.0
Geraldo Perdomo,5.75,8,16,AZ,Geraldo Perdomo ,465,0.254,0.036,5,6,62,17,41,13,10,6,174,,656.0,191.0
Mike Yastrzemski,5.75,8,14,SF,Mike Yastrzemski ,475,0.23,0.034,17,9,61,17,55,16,3,4,131,,656.0,181.0
Danny Jansen,5.83,6,15,TB,Danny Jansen ,342,0.222,0.034,13,6,41,11,41,11,1,3,211,,655.0,313.0
Jhonkensy Noel,5.83,6,14,CLE,Jhonkensy Noel ,346,0.222,0.049,10,6,21,8,24,9,0,3,304,,655.0,309.0
Alex Call,5.83,6,14,WSH,Alex Call ,247,0.277,0.038,5,3,27,8,24,7,6,4,258,,655.0,408.0
Jake Fraley,5.88,8,14,CIN,Jake Fraley ,405,0.263,0.035,11,6,47,13,44,13,16,10,149,,654.0,249.0
Jordan Beck,6.0,7,15,COL,Jordan Beck ,367,0.186,0.041,3,3,14,7,13,7,5,4,330,,652.0,285.0
Luis Torrens,6.0,6,15,NYM,Luis Torrens ,155,0.229,0.038,2,2,11,4,11,4,0,1,376,,652.0,497.0
Carson Kelly,6.0,6,16,CHC,Carson Kelly ,273,0.226,0.032,6,4,27,8,29,8,1,2,282,,652.0,379.0
Pedro Pages,6.0,7,15,STL,Pedro Pages ,223,0.241,0.047,3,2,10,4,13,5,1,2,363,,652.0,429.0
Kyle Higashioka,6.0,7,16,TEX,Kyle Higashioka ,289,0.227,0.034,14,6,30,9,42,11,1,2,215,,652.0,363.0
J.T. Realmuto,6.0,6,14,PHI,J.T. Realmuto ,458,0.26,0.035,15,8,56,16,55,15,7,5,112,,652.0,194.0
Lenyn Sosa,6.0,7,14,CWS,Lenyn Sosa ,348,0.232,0.036,7,5,21,8,25,9,1,3,275,,652.0,304.0
Taylor Walls,6.0,7,15,TB,Taylor Walls ,221,0.196,0.029,2,2,25,7,16,6,11,4,292,,652.0,431.0
Jason Heyward,6.14,7,15,SD,Jason Heyward ,332,0.231,0.034,11,6,42,11,39,11,4,3,191,,649.0,317.0
Eddie Rosario,6.14,7,17,LAD,Eddie Rosario ,197,0.21,0.031,6,3,20,6,22,6,3,2,299,,649.0,452.0
Ramon Urias,6.17,6,13,BAL,Ramon Urias ,238,0.255,0.034,6,3,28,8,27,8,1,2,281,,649.0,411.0
Joey Ortiz,6.17,6,15,MIL,Joey Ortiz ,559,0.243,0.048,6,6,32,13,32,13,5,5,235,,649.0,90.0
Jo Adell,6.2,10,16,LAA,Jo Adell ,447,0.22,0.039,12,7,35,12,42,13,7,5,179,,648.0,201.0
Davis Schneider,6.33,6,15,TOR,Davis Schneider ,210,0.223,0.039,6,3,21,6,20,6,1,2,320,,646.0,436.0
Juan Yepez,6.33,6,14,WSH,Juan Yepez ,101,0.275,0.044,1,1,7,2,6,2,0,1,396,,646.0,545.0
Dominic Canzone,6.33,6,17,SEA,Dominic Canzone ,105,0.205,0.035,3,1,9,3,8,2,0,1,383,,646.0,541.0
Bryson Stott,6.33,6,14,PHI,Bryson Stott ,583,0.256,0.035,11,8,64,19,53,17,26,12,95,,646.0,63.0
Chas McCormick,6.33,6,14,HOU,Chas McCormick ,414,0.239,0.034,13,7,50,14,50,14,10,6,140,,646.0,232.0
Ernie Clement,6.38,8,15,TOR,Ernie Clement ,327,0.246,0.038,4,4,24,8,22,8,3,3,285,,645.0,318.0
Sam Hilliard,6.43,7,15,COL,Sam Hilliard ,265,0.231,0.042,9,5,28,8,27,8,4,3,248,,644.0,379.0
Ildemaro Vargas,6.43,7,16,AZ,Ildemaro Vargas ,125,0.248,0.032,1,1,10,3,11,3,2,1,368,,644.0,519.0
Christian Vazquez,6.5,6,14,MIN,Christian Vazquez ,289,0.232,0.031,5,3,27,8,26,8,2,2,277,,643.0,354.0
Brooks Lee,6.62,8,14,MIN,Brooks Lee ,449,0.227,0.044,4,4,13,10,31,11,3,4,301,,641.0,192.0
Angel Martinez,6.71,7,14,CLE,Angel Martinez ,190,0.231,0.045,1,1,8,4,6,3,1,1,378,,639.0,449.0
Ceddanne Rafaela,6.83,6,14,BOS,Ceddanne Rafaela ,432,0.248,0.046,5,4,25,10,27,10,6,5,263,,637.0,205.0
Jose Trevino,6.86,7,14,CIN,Jose Trevino ,245,0.223,0.032,6,4,24,7,26,8,1,2,294,,637.0,392.0
Jared Triolo,6.89,9,15,PIT,Jared Triolo ,243,0.246,0.037,3,3,21,7,19,6,3,3,318,,636.0,393.0
Jake Rogers,7.0,6,14,DET,Jake Rogers ,351,0.213,0.035,12,6,38,11,36,11,1,3,223,,634.0,283.0
Leody Taveras,7.0,10,16,TEX,Leody Taveras ,342,0.239,0.032,7,4,37,11,32,10,11,6,195,,634.0,292.0
Kevin Pillar,7.17,6,16,TEX,Kevin Pillar ,159,0.231,0.036,5,2,17,5,20,5,3,2,324,,631.0,472.0
Isiah Kiner-Falefa,7.25,8,15,PIT,Isiah Kiner-Falefa ,483,0.263,0.035,7,5,54,16,44,14,13,8,151,,630.0,147.0
Orlando Arcia,7.25,8,14,ATL,Orlando Arcia ,535,0.236,0.034,14,8,49,16,48,16,2,5,164,,630.0,95.0
Austin Martin,7.29,7,14,MIN,Austin Martin ,155,0.257,0.048,0,1,11,4,5,2,2,1,382,,629.0,474.0
Jon Berti,7.5,8,16,CHC,Jon Berti ,184,0.267,0.048,1,1,11,4,7,3,4,2,352,,625.0,441.0
Andy Pages,7.78,9,17,LAD,Andy Pages ,219,0.251,0.048,3,2,15,5,11,5,0,2,366,,620.0,401.0
Kevin Newman,7.83,6,16,LAA,Kevin Newman ,219,0.267,0.036,2,2,25,7,20,6,5,3,290,,619.0,400.0
Oswald Peraza,8.33,6,14,NYY,Oswald Peraza ,231,0.188,0.058,0,2,5,3,5,3,1,2,400,,610.0,379.0
Jake Meyers,8.43,7,14,HOU,Jake Meyers ,409,0.227,0.032,10,6,43,13,45,13,6,5,171,,608.0,199.0
