,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
91,90,J.T. Realmuto,PHI,139.0,504.0,562.0,139.0,86.0,26.0,5.0,22.0,75.0,84.0,41.0,1.0,119.0,12.0,5.0,0.0,7.0,21.0,1.0,0.276
92,91,Gavin Lux,LAD,129.0,421.0,471.0,116.0,83.0,20.0,7.0,6.0,66.0,42.0,47.0,0.0,95.0,0.0,3.0,0.0,3.0,7.0,2.0,0.276
93,92,Esteban Quiroz,CHC,14.0,40.0,47.0,11.0,11.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,9.0,2.0,0.0,1.0,0.0,1.0,1.0,0.275
94,93,Luis Garcia,WSN,93.0,360.0,377.0,99.0,67.0,23.0,2.0,7.0,29.0,45.0,11.0,1.0,84.0,1.0,4.0,1.0,5.0,3.0,4.0,0.275
95,94,Kevin Newman,PIT,78.0,288.0,309.0,79.0,57.0,18.0,2.0,2.0,31.0,24.0,16.0,0.0,48.0,2.0,1.0,2.0,6.0,8.0,2.0,0.274
96,95,Vladimir Guerrero Jr.,TOR,160.0,638.0,706.0,175.0,108.0,35.0,0.0,32.0,90.0,97.0,58.0,6.0,116.0,6.0,4.0,0.0,26.0,8.0,3.0,0.274
97,96,Brandon Nimmo,NYM,151.0,580.0,673.0,159.0,106.0,30.0,7.0,16.0,102.0,64.0,71.0,0.0,116.0,16.0,3.0,3.0,9.0,3.0,2.0,0.274
98,97,Ty France,SEA,140.0,551.0,613.0,151.0,103.0,27.0,1.0,20.0,65.0,83.0,35.0,3.0,94.0,21.0,5.0,0.0,18.0,0.0,0.0,0.274
99,98,J.D. Martinez,BOS,139.0,533.0,596.0,146.0,86.0,43.0,1.0,16.0,76.0,62.0,52.0,1.0,145.0,5.0,5.0,0.0,20.0,0.0,0.0,0.274
100,99,Christian Vazquez,- - -,119.0,398.0,426.0,109.0,77.0,23.0,0.0,9.0,41.0,52.0,22.0,0.0,69.0,3.0,3.0,0.0,10.0,1.0,4.0,0.274
101,100,Manuel Margot,TBR,89.0,336.0,363.0,92.0,68.0,18.0,2.0,4.0,36.0,47.0,24.0,1.0,68.0,2.0,1.0,0.0,7.0,7.0,3.0,0.274
102,101,Joc Pederson,SFG,134.0,380.0,433.0,104.0,59.0,19.0,3.0,23.0,57.0,70.0,42.0,3.0,100.0,7.0,4.0,0.0,5.0,3.0,2.0,0.274
103,102,Austin Riley,ATL,159.0,615.0,693.0,168.0,89.0,39.0,2.0,38.0,90.0,93.0,57.0,1.0,168.0,17.0,4.0,0.0,13.0,2.0,0.0,0.273
104,103,Shohei Ohtani,LAA,157.0,586.0,666.0,160.0,90.0,30.0,6.0,34.0,90.0,95.0,72.0,14.0,161.0,5.0,3.0,0.0,6.0,11.0,9.0,0.273
105,104,Luis Guillorme,NYM,102.0,297.0,335.0,81.0,66.0,12.0,1.0,2.0,33.0,17.0,34.0,1.0,46.0,2.0,0.0,2.0,15.0,1.0,0.0,0.273
106,105,Nick Gordon,MIN,138.0,405.0,443.0,110.0,69.0,28.0,4.0,9.0,45.0,50.0,19.0,1.0,105.0,10.0,6.0,3.0,8.0,6.0,4.0,0.272
107,106,Harold Castro,DET,120.0,420.0,443.0,114.0,84.0,21.0,2.0,7.0,37.0,47.0,17.0,1.0,79.0,1.0,2.0,3.0,5.0,0.0,1.0,0.271
