player,threeyearG,threeyearPA,battingpos2023,2023modelPAs162
 Jose Siri,62.0,187.0,7.47,626.0
 Taylor Walls,98.0,321.0,7.08,633.0
 Josh Lowe,27.0,100.0,5.29,665.0
 Francisco Mejia,74.0,230.0,8.6,605.0
 Isaac Paredes,75.0,253.0,4.9,672.0
 Harold Ramirez,76.0,275.0,4.2,684.0
 Manuel Margot,114.0,419.0,7.19,631.0
 Christian Bethancourt,101.0,333.0,8.24,612.0
 Vidal Brujan,31.0,94.0,8.55,606.0
 Jonathan Aranda,32.0,87.0,6.65,640.0
 Rene Pinto,25.0,83.0,8.94,599.0
 Curtis Mead,0.0,0.0,5.55,660.0
 Osleivis Basabe,0.0,0.0,7.14,631.0
 Tristan Gray,0.0,0.0,8.0,616.0
 Junior Caminero,0.0,0.0,3.14,703.0
 Alex Verdugo,147.0,615.0,2.33,718.0
 Rafael Devers,150.0,649.0,3.05,705.0
 Justin Turner,131.0,539.0,2.76,710.0
 Masataka Yoshida,0.0,0.0,3.73,693.0
 Adam Duvall,129.0,478.0,4.81,673.0
 Triston Casas,27.0,95.0,5.74,657.0
 Christian Arroyo,62.0,209.0,6.94,635.0
 Reese McGuire,73.0,204.0,8.19,613.0
 Rob Refsnyder,50.0,142.0,2.6,713.0
 Connor Wong,16.0,35.0,8.42,608.0
 Yu Chang,62.0,159.0,8.91,600.0
 Bobby Dalbec,104.0,351.0,7.2,630.0
 Jarren Duran,46.0,168.0,4.07,687.0
 Enmanuel Valdez,0.0,0.0,8.0,616.0
 Pablo Reyes,30.0,52.0,7.5,625.0
 David Hamilton,0.0,0.0,8.27,611.0
 Caleb Hamilton,22.0,23.0,9.0,598.0
 Jorge Alfaro,86.0,285.0,6.58,642.0
 Trevor Story,132.0,563.0,5.85,655.0
 Wilyer Abreu,0.0,0.0,5.26,665.0
 Ceddanne Rafaela,0.0,0.0,1.35,736.0
 Jonathan India,126.0,531.0,2.22,720.0
 Spencer Steer,28.0,108.0,4.16,685.0
 Wil Myers,124.0,458.0,5.74,657.0
