player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
Jonathan Davis,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0
Pedro Severino,MIL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
Mario Feliciano,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Garrett Mitchell,MIL,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,17.0
Esteury Ruiz,MIL,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0
Dylan Carlson,STL,28.0,16.0,1.0,1.0,6.0,24.0,28.0,2.0,3.0
Paul Goldschmidt,STL,0.0,43.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler O'Neill,STL,0.0,12.0,24.0,4.0,17.0,25.0,3.0,1.0,1.0
Nolan Arenado,STL,0.0,0.0,26.0,120.0,0.0,0.0,0.0,0.0,0.0
Corey Dickerson,STL,0.0,3.0,1.0,4.0,31.0,12.0,13.0,5.0,3.0
Paul DeJong,STL,0.0,0.0,0.0,0.0,2.0,11.0,22.0,8.0,14.0
Yadier Molina,STL,0.0,0.0,0.0,0.0,3.0,5.0,13.0,49.0,0.0
Harrison Bader,STL,1.0,1.0,0.0,1.0,2.0,8.0,26.0,23.0,14.0
Tommy Edman,STL,86.0,12.0,0.0,0.0,0.0,10.0,4.0,0.0,29.0
Albert Pujols,STL,0.0,3.0,2.0,15.0,31.0,21.0,7.0,0.0,1.0
Andrew Knizner,STL,0.0,0.0,0.0,0.0,0.0,1.0,4.0,31.0,42.0
Lars Nootbaar,STL,20.0,6.0,0.0,0.0,2.0,14.0,11.0,14.0,15.0
Edmundo Sosa,STL,0.0,0.0,0.0,0.0,0.0,2.0,8.0,20.0,15.0
Brendan Donovan,STL,25.0,36.0,0.0,0.0,16.0,5.0,7.0,6.0,13.0
Juan Yepez,STL,0.0,5.0,1.0,14.0,25.0,15.0,5.0,0.0,0.0
Nolan Gorman,STL,1.0,23.0,0.0,3.0,26.0,7.0,10.0,3.0,0.0
Ivan Herrera,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Ben DeLuzio,STL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Alec Burleson,STL,0.0,1.0,0.0,0.0,2.0,3.0,7.0,0.0,1.0
Rafael Ortega,CHC,50.0,7.0,2.0,0.0,4.0,14.0,3.0,1.0,3.0
Nick Madrigal,CHC,25.0,5.0,0.0,0.0,0.0,3.0,1.0,3.0,15.0
Willson Contreras,CHC,8.0,81.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0
Ian Happ,CHC,0.0,11.0,73.0,51.0,1.0,9.0,2.0,4.0,0.0
Frank Schwindel,CHC,0.0,1.0,2.0,23.0,23.0,10.0,9.0,1.0,0.0
Seiya Suzuki,CHC,0.0,34.0,24.0,38.0,6.0,2.0,0.0,0.0,0.0
Jason Heyward,CHC,0.0,0.0,0.0,0.0,0.0,4.0,16.0,17.0,2.0
Patrick Wisdom,CHC,0.0,0.0,24.0,23.0,29.0,28.0,14.0,8.0,1.0
Nico Hoerner,CHC,0.0,9.0,0.0,3.0,50.0,30.0,15.0,3.0,18.0
Alfonso Rivas III,CHC,3.0,0.0,0.0,2.0,8.0,12.0,16.0,27.0,5.0
Clint Frazier,CHC,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0
Yan Gomes,CHC,0.0,0.0,4.0,4.0,12.0,13.0,27.0,15.0,0.0
Michael Hermosillo,CHC,1.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,4.0
Ildemaro Vargas,CHC,0.0,0.0,0.0,0.0,4.0,4.0,16.0,12.0,20.0
Andrelton Simmons,CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0
Christopher Morel,CHC,43.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,54.0
P.J. Higgins,CHC,0.0,0.0,0.0,0.0,2.0,7.0,17.0,19.0,6.0
Nelson Velazquez,CHC,0.0,0.0,0.0,0.0,2.0,6.0,12.0,19.0,8.0
David Bote,CHC,0.0,1.0,2.0,0.0,3.0,1.0,4.0,11.0,13.0
Narciso Crook,CHC,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Zach McKinstry,CHC,24.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,5.0
Franmil Reyes,CHC,0.0,0.0,11.0,39.0,36.0,26.0,0.0,0.0,0.0
Jared Young,CHC,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0
Esteban Quiroz,CHC,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Hummel,AZ,16.0,4.0,0.0,0.0,4.0,5.0,5.0,8.0,1.0
Ketel Marte,AZ,4.0,22.0,82.0,0.0,8.0,11.0,0.0,0.0,0.0
Carson Kelly,AZ,13.0,1.0,2.0,0.0,6.0,16.0,26.0,22.0,1.0
Christian Walker,AZ,0.0,0.0,0.0,156.0,1.0,0.0,0.0,0.0,0.0
David Peralta,AZ,2.0,2.0,30.0,12.0,52.0,13.0,3.0,1.0,0.0
Daulton Varsho,AZ,61.0,9.0,1.0,0.0,26.0,20.0,7.0,10.0,1.0
Geraldo Perdomo,AZ,0.0,1.0,0.0,0.0,0.0,3.0,11.0,29.0,92.0
Pavin Smith,AZ,1.0,24.0,3.0,0.0,15.0,13.0,7.0,2.0,0.0
Drew Ellis,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Seth Beer,AZ,0.0,0.0,0.0,3.0,10.0,5.0,10.0,4.0,0.0
Sergio Alcantara,AZ,0.0,1.0,0.0,0.0,0.0,3.0,20.0,15.0,18.0
Jose Herrera,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0
Jake McCarthy,AZ,1.0,3.0,22.0,0.0,11.0,30.0,10.0,6.0,0.0
Yonny Hernandez,AZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0
Nick Ahmed,AZ,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0
Jordan Luplow,AZ,11.0,15.0,2.0,0.0,2.0,10.0,10.0,1.0,0.0
Josh Rojas,AZ,45.0,28.0,14.0,0.0,16.0,6.0,3.0,3.0,0.0
Alek Thomas,AZ,1.0,34.0,0.0,0.0,0.0,3.0,30.0,32.0,2.0
Jake Hager,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0
Grayson Greiner,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Buddy Kennedy,AZ,0.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,0.0
Emmanuel Rivera,AZ,0.0,14.0,4.0,4.0,14.0,14.0,11.0,22.0,6.0
Stone Garrett,AZ,6.0,3.0,1.0,0.0,4.0,5.0,2.0,0.0,0.0
Corbin Carroll,AZ,2.0,2.0,0.0,0.0,2.0,9.0,6.0,5.0,0.0
Wilmer Difo,AZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Mookie Betts,LAD,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freddie Freeman,LAD,0.0,82.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
Trea Turner,LAD,23.0,78.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
