player,avg,ngames,teamgames,team,Name,PA,AVG,eAVG,HR,eHR,R,eR,RBI,eRBI,SB,eSB,Rank,Unnamed: 13,PA_forecast,PAdiff
Brayan Rocchio,4.86,7,15,CLE,Brayan Rocchio ,508,0.207,0.044,4,5,28,11,20,10,5,5,280,,673.0,165.0
Jose Tena,4.86,7,15,WSH,Jose Tena ,347,0.268,0.047,3,3,15,7,15,7,5,4,321,,673.0,326.0
Kyle Isbel,4.88,8,17,KC,Kyle Isbel ,472,0.236,0.033,8,6,60,16,45,14,10,7,153,,672.0,200.0
Jose Miranda,4.88,8,15,MIN,Jose Miranda ,398,0.256,0.034,8,5,35,11,39,12,1,3,221,,672.0,274.0
Brandon Drury,4.89,9,15,CWS,Brandon Drury ,243,0.212,0.033,6,4,23,7,22,7,0,2,314,,672.0,429.0
Jerar Encarnacion,4.89,9,16,SF,Jerar Encarnacion ,223,0.249,0.048,4,3,12,5,16,6,0,2,349,,672.0,449.0
Jake Burger,4.9,10,17,TEX,Jake Burger ,570,0.248,0.037,27,12,64,19,74,20,1,5,92,,672.0,102.0
David Hamilton,5.0,9,15,BOS,David Hamilton ,146,0.248,0.047,1,1,10,3,6,3,7,3,346,,670.0,524.0
Jarred Kelenic,5.0,7,15,ATL,Jarred Kelenic ,214,0.222,0.033,6,3,22,7,22,6,4,2,279,,670.0,456.0
Chris Taylor,5.0,10,18,LAD,Chris Taylor ,272,0.22,0.032,6,4,32,9,29,9,6,4,236,,670.0,398.0
Otto Lopez,5.0,7,15,MIA,Otto Lopez ,452,0.271,0.048,3,4,25,10,20,9,9,6,273,,670.0,218.0
Yoan Moncada,5.0,9,17,LAA,Yoan Moncada ,449,0.248,0.047,6,5,24,10,25,10,1,4,300,,670.0,221.0
Gabriel Moreno,5.0,6,18,AZ,Gabriel Moreno ,454,0.27,0.038,6,5,38,13,46,14,4,4,200,,670.0,216.0
Oswaldo Cabrera,5.11,9,15,NYY,Oswaldo Cabrera ,340,0.239,0.034,7,4,39,11,32,10,5,4,212,,668.0,328.0
Michael Harris II,5.12,8,15,ATL,Michael Harris II ,597,0.275,0.038,18,10,73,20,61,19,14,9,52,,668.0,71.0
Ivan Herrera,5.12,8,16,STL,Ivan Herrera ,372,0.296,0.051,3,3,25,9,19,8,3,3,308,,668.0,296.0
Miguel Amaya,5.14,7,17,CHC,Miguel Amaya ,308,0.224,0.037,6,4,24,8,30,9,0,3,307,,667.0,359.0
Brett Baty,5.14,7,16,NYM,Brett Baty ,106,0.224,0.036,2,1,8,2,8,2,0,1,392,,667.0,561.0
Jacob Young,5.14,7,15,WSH,Jacob Young ,517,0.254,0.037,2,5,50,16,33,13,32,12,189,,667.0,150.0
Bo Naylor,5.14,7,15,CLE,Bo Naylor ,410,0.213,0.037,12,7,37,12,37,12,5,4,188,,667.0,257.0
Victor Caratini,5.17,6,15,HOU,Victor Caratini ,214,0.249,0.034,6,3,22,6,23,7,0,2,327,,667.0,453.0
Manuel Margot,5.17,6,16,MIL,Manuel Margot ,159,0.251,0.032,2,1,17,5,16,5,2,2,342,,667.0,508.0
Nolan Jones,5.2,10,16,COL,Nolan Jones ,487,0.25,0.038,9,6,44,14,43,14,10,7,168,,666.0,179.0
Wilmer Flores,5.22,9,16,SF,Wilmer Flores ,366,0.235,0.034,10,6,36,11,42,12,0,3,230,,666.0,300.0
Seth Brown,5.22,9,17,ATH,Seth Brown ,338,0.23,0.033,12,6,31,10,41,11,3,3,199,,666.0,328.0
Nolan Gorman,5.22,9,16,STL,Nolan Gorman ,416,0.221,0.035,19,8,45,13,53,14,5,4,144,,666.0,250.0
Zack Gelof,5.25,8,17,ATH,Zack Gelof ,584,0.233,0.037,16,9,55,17,45,16,20,10,117,,666.0,82.0
Jose Siri,5.25,8,16,NYM,Jose Siri ,372,0.203,0.033,15,7,44,12,39,12,10,6,161,,666.0,294.0
Will Brennan,5.29,7,15,CLE,Will Brennan ,251,0.267,0.037,3,3,20,7,17,6,3,3,315,,665.0,414.0
Geraldo Perdomo,5.33,9,18,AZ,Geraldo Perdomo ,465,0.254,0.036,5,6,62,17,41,13,10,6,174,,664.0,199.0
Miguel Rojas,5.33,9,18,LAD,Miguel Rojas ,163,0.26,0.034,2,2,18,5,14,4,3,2,339,,664.0,501.0
Zach McKinstry,5.33,6,15,DET,Zach McKinstry ,216,0.219,0.031,3,2,22,6,16,6,7,4,291,,664.0,448.0
Patrick Bailey,5.43,7,16,SF,Patrick Bailey ,450,0.235,0.036,7,5,34,12,41,13,2,4,220,,662.0,212.0
Luis Urias,5.43,7,17,ATH,Luis Urias ,217,0.204,0.033,6,3,23,7,26,7,0,2,322,,662.0,445.0
Max Kepler,5.43,7,15,PHI,Max Kepler ,450,0.249,0.034,13,7,54,15,52,15,2,4,158,,662.0,212.0
Jonah Heim,5.43,7,17,TEX,Jonah Heim ,357,0.235,0.033,11,6,37,11,48,13,1,3,201,,662.0,305.0
Rowdy Tellez,5.44,9,18,SEA,Rowdy Tellez ,136,0.231,0.034,4,2,12,4,17,4,0,1,354,,662.0,526.0
Brandon Marsh,5.5,8,15,PHI,Brandon Marsh ,493,0.258,0.035,13,8,58,16,59,17,13,8,98,,661.0,168.0
Alejandro Kirk,5.5,8,16,TOR,Alejandro Kirk ,414,0.251,0.034,8,5,33,11,50,14,0,4,219,,661.0,247.0
Austin Barnes,5.5,8,18,LAD,Austin Barnes ,133,0.225,0.031,1,1,11,3,10,3,1,1,359,,661.0,528.0
Gabriel Arias,5.5,8,15,CLE,Gabriel Arias ,134,0.216,0.034,2,1,10,3,9,3,2,1,364,,661.0,527.0
Max Muncy,5.54,13,17,ATH,Max Muncy ,518,0.23,0.036,28,12,80,20,84,20,2,5,78,,660.0,142.0
Amed Rosario,5.57,7,15,WSH,Amed Rosario ,231,0.275,0.038,2,2,25,7,22,7,6,3,278,,660.0,429.0
Ty France,5.57,7,15,MIN,Ty France ,375,0.245,0.033,9,5,38,12,38,11,1,3,231,,660.0,285.0
Michael Siani,5.57,7,16,STL,Michael Siani ,242,0.232,0.046,1,2,15,6,7,4,7,4,344,,660.0,418.0
Pete Crow-Armstrong,5.67,9,17,CHC,Pete Crow-Armstrong ,525,0.239,0.046,6,5,30,12,28,12,17,9,225,,658.0,133.0
Ezequiel Duran,5.67,6,17,TEX,Ezequiel Duran ,196,0.253,0.033,3,2,19,6,15,5,2,2,338,,658.0,462.0
J.T. Realmuto,5.71,7,15,PHI,J.T. Realmuto ,458,0.26,0.035,15,8,56,16,55,15,7,5,112,,657.0,199.0
Vidal Brujan,5.71,7,17,CHC,Vidal Brujan ,118,0.211,0.038,0,1,7,3,5,2,1,1,398,,657.0,539.0
Danny Jansen,5.71,7,16,TB,Danny Jansen ,342,0.222,0.034,13,6,41,11,41,11,1,3,211,,657.0,315.0
Jhonkensy Noel,5.86,7,15,CLE,Jhonkensy Noel ,346,0.222,0.049,10,6,21,8,24,9,0,3,304,,655.0,309.0
Ramon Laureano,5.86,7,15,BAL,Ramon Laureano ,227,0.242,0.033,6,3,25,7,23,7,5,3,261,,655.0,428.0
Alex Call,5.86,7,15,WSH,Alex Call ,247,0.277,0.038,5,3,27,8,24,7,6,4,258,,655.0,408.0
Davis Schneider,5.86,7,16,TOR,Davis Schneider ,210,0.223,0.039,6,3,21,6,20,6,1,2,320,,655.0,445.0
Jake Fraley,5.88,8,15,CIN,Jake Fraley ,405,0.263,0.035,11,6,47,13,44,13,16,10,149,,654.0,249.0
Jose Caballero,5.88,8,16,TB,Jose Caballero ,301,0.229,0.036,4,3,29,9,21,8,21,7,254,,654.0,353.0
Mike Yastrzemski,5.89,9,16,SF,Mike Yastrzemski ,475,0.23,0.034,17,9,61,17,55,16,3,4,131,,654.0,179.0
Pedro Pages,6.0,7,16,STL,Pedro Pages ,223,0.241,0.047,3,2,10,4,13,5,1,2,363,,652.0,429.0
Lenyn Sosa,6.0,7,15,CWS,Lenyn Sosa ,348,0.232,0.036,7,5,21,8,25,9,1,3,275,,652.0,304.0
Mauricio Dubon,6.0,7,15,HOU,Mauricio Dubon ,344,0.264,0.035,5,4,41,11,35,11,3,3,224,,652.0,308.0
Matt Thaiss,6.0,6,15,CWS,Matt Thaiss ,119,0.208,0.035,1,1,8,3,8,3,1,1,381,,652.0,533.0
Luis Torrens,6.0,6,16,NYM,Luis Torrens ,155,0.229,0.038,2,2,11,4,11,4,0,1,376,,652.0,497.0
Kyle Higashioka,6.0,7,17,TEX,Kyle Higashioka ,289,0.227,0.034,14,6,30,9,42,11,1,2,215,,652.0,363.0
Taylor Walls,6.0,7,16,TB,Taylor Walls ,221,0.196,0.029,2,2,25,7,16,6,11,4,292,,652.0,431.0
Joey Gallo,6.12,8,15,CWS,Joey Gallo ,180,0.176,0.032,8,3,19,5,20,6,1,1,311,,650.0,470.0
Eddie Rosario,6.14,7,18,LAD,Eddie Rosario ,197,0.21,0.031,6,3,20,6,22,6,3,2,299,,649.0,452.0
Jason Heyward,6.14,7,16,SD,Jason Heyward ,332,0.231,0.034,11,6,42,11,39,11,4,3,191,,649.0,317.0
Joey Ortiz,6.17,6,16,MIL,Joey Ortiz ,559,0.243,0.048,6,6,32,13,32,13,5,5,235,,649.0,90.0
Garrett Hampson,6.17,6,18,AZ,Garrett Hampson ,133,0.242,0.031,1,1,13,4,10,3,3,2,348,,649.0,516.0
Eric Haase,6.17,6,16,MIL,Eric Haase ,125,0.222,0.045,1,1,5,2,6,2,0,1,402,,649.0,524.0
Jo Adell,6.2,10,17,LAA,Jo Adell ,447,0.22,0.039,12,7,35,12,42,13,7,5,179,,648.0,201.0
Jordan Beck,6.25,8,16,COL,Jordan Beck ,367,0.186,0.041,3,3,14,7,13,7,5,4,330,,648.0,281.0
Ramon Urias,6.29,7,15,BAL,Ramon Urias ,238,0.255,0.034,6,3,28,8,27,8,1,2,281,,647.0,409.0
Carson Kelly,6.29,7,17,CHC,Carson Kelly ,273,0.226,0.032,6,4,27,8,29,8,1,2,282,,647.0,374.0
Juan Yepez,6.33,6,15,WSH,Juan Yepez ,101,0.275,0.044,1,1,7,2,6,2,0,1,396,,646.0,545.0
Dominic Canzone,6.33,6,18,SEA,Dominic Canzone ,105,0.205,0.035,3,1,9,3,8,2,0,1,383,,646.0,541.0
