,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,Year
690,689,Nathan Eovaldi,TEX,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
691,690,Patrick Corbin,WSN,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
692,691,Dallas Keuchel,MIN,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
693,692,Joe Kelly,- - -,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
694,693,Miles Mikolas,STL,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
695,694,Brooks Raley,NYM,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
696,695,Caleb Thielbar,MIN,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
697,696,Kyle Gibson,BAL,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
698,697,Brad Boxberger,CHC,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
699,698,Ryan Weber,NYY,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
700,699,Shelby Miller,LAD,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
701,700,Billy Hamilton,CHW,3,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,.000,2023
702,701,Aroldis Chapman,- - -,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
703,702,Ryan Tepera,- - -,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
704,703,Zack Wheeler,PHI,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
705,704,Erasmo Ramirez,- - -,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
706,705,Michael Tonkin,ATL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
707,706,Aaron Loup,LAA,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
708,707,Mychal Givens,BAL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
709,708,Scott Alexander,SFG,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
710,709,Chris Sale,BOS,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
711,710,Andrew Bellatti,PHI,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
712,711,Shane Greene,CHC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
713,712,Michael Mariot,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
714,713,Adam Kolarek,- - -,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
715,714,Chasen Shreve,- - -,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
716,715,Jacob deGrom,TEX,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
717,716,Casey Lawrence,STL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
718,717,Merrill Kelly,ARI,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
719,718,Vince Velasquez,PIT,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
720,719,Zach Neal,OAK,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
721,720,Sean Nolin,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
722,721,Tommy Kahnle,NYY,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
723,722,Jose Quintana,NYM,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
724,723,Robbie Ray,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,2023
