player,PAprediction,threeyearavgPA,PA23,lineup23,PA23lineup,PA24lineup,threeyearavgG,G23,G22,G21
Yonny Hernandez,44,97.0,28.0,9.0,598.0,598.0,28.0,12.0,43.0,0.0
Enrique Hernandez,343,462.0,402.0,6.78,638.0,598.0,119.0,93.0,134.0,130.0
Amed Rosario,565,552.0,670.0,2.86,709.0,598.0,139.0,153.0,141.0,124.0
Kolten Wong,495,517.0,497.0,8.2,612.0,598.0,131.0,134.0,116.0,143.0
LaMonte Wade Jr.,344,250.0,251.0,1.81,727.0,724,76.0,77.0,109.0,43.0
Michael Conforto,0,554.0,0.0,4.26,683.0,652,135.0,0.0,125.0,146.0
Thairo Estrada,579,271.0,541.0,2.97,707.0,670,87.0,140.0,52.0,70.0
Joc Pederson,495,429.0,433.0,3.24,702.0,598.0,129.0,134.0,137.0,116.0
Mike Yastrzemski,645,566.0,558.0,4.69,676.0,706,144.0,148.0,139.0,146.0
David Villar,192,181.0,181.0,6.44,644.0,598.0,52.0,52.0,0.0,0.0
Brandon Crawford,436,509.0,458.0,7.79,620.0,598.0,134.0,118.0,138.0,146.0
Blake Sabol,0,0.0,0.0,6.79,638.0,598.0,0.0,0.0,0.0,0.0
Roberto Perez,78,176.0,69.0,9.0,598.0,598.0,50.0,21.0,44.0,86.0
J.D. Davis,450,398.0,365.0,4.05,687.0,634,113.0,115.0,73.0,151.0
Wilmer Flores,641,538.0,602.0,3.09,704.0,688,146.0,151.0,139.0,148.0
Bryce Johnson,41,19.0,19.0,9.0,598.0,598.0,11.0,11.0,0.0,0.0
Heliot Ramos,33,22.0,22.0,7.88,618.0,598.0,9.0,9.0,0.0,0.0
Joey Bart,358,199.0,291.0,7.8,620.0,598.0,63.0,97.0,2.0,89.0
Matt Beaty,74,142.0,47.0,6.37,645.0,598.0,66.0,20.0,120.0,57.0
Brett Wisely,0,0.0,0.0,8.62,605.0,580,0.0,0.0,0.0,0.0
Austin Slater,434,304.0,325.0,2.19,721.0,562,113.0,125.0,129.0,84.0
Mitch Haniger,229,469.0,247.0,4.82,673.0,652,107.0,57.0,157.0,0.0
Cal Stevenson,85,71.0,71.0,9.0,598.0,598.0,23.0,23.0,0.0,0.0
Casey Schmitt,0,0.0,0.0,7.83,619.0,598.0,0.0,0.0,0.0,0.0
Patrick Bailey,0,0.0,0.0,6.08,651.0,598.0,0.0,0.0,0.0,0.0
Luis Matos,0,0.0,0.0,6.75,638.0,598.0,0.0,0.0,0.0,0.0
Isan Diaz,0,168.0,0.0,8.29,611.0,598.0,54.0,0.0,89.0,19.0
