,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
125,"Ozuna, Marcell",ATL,0.0,0.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0
126,"d'Arnaud, Travis",ATL,0.0,0.0,0.0,8.0,18.0,16.0,13.0,0.0,0.0
127,"Swanson, Dansby",ATL,2.0,6.0,1.0,2.0,70.0,50.0,17.0,10.0,0.0
128,"Riley, Austin",ATL,0.0,0.0,0.0,98.0,28.0,9.0,17.0,4.0,0.0
129,"Pache, Cristian",ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0
130,"Fried, Max",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0
131,"Morton, Charlie",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
132,"Anderson, Ian",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
133,"Smyly, Drew",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
134,"Inciarte, Ender",ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0
135,"Jackson, Alex",ATL,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0
136,"Ynoa, Huascar",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
137,"Adrianza, Ehire",ATL,8.0,1.0,0.0,0.0,1.0,14.0,2.0,3.0,1.0
138,"Heredia, Guillermo",ATL,0.0,0.0,0.0,0.0,1.0,13.0,22.0,46.0,2.0
139,"Wright, Kyle",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
140,"Wilson, Bryse",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
141,"Sandoval, Pablo",ATL,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0
142,"Contreras, William",ATL,0.0,0.0,0.0,0.0,0.0,1.0,35.0,9.0,2.0
143,"Mathis, Jeff",ATL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
144,"Tomlin, Josh",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,"Davidson, Tucker",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
146,"Smith, Kevan",ATL,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0
147,"Almonte, Abraham",ATL,1.0,0.0,0.0,9.0,4.0,13.0,10.0,0.0,0.0
148,"Newcomb, Sean",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,"Muller, Kyle",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
150,"Chavez, Jesse",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
151,"Arcia, Orlando",ATL,0.0,1.0,0.0,0.0,4.0,3.0,7.0,1.0,0.0
152,"Lucroy, Jonathan",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
153,"Pederson, Joc",ATL,19.0,0.0,0.0,0.0,1.0,3.0,11.0,7.0,2.0
154,"Vogt, Stephen",ATL,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,1.0
155,"Toussaint, Touki",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
156,"Duvall, Adam",ATL,0.0,0.0,0.0,0.0,25.0,17.0,9.0,0.0,0.0
157,"Soler, Jorge",ATL,11.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
158,"Rosario, Eddie",ATL,1.0,0.0,0.0,0.0,3.0,12.0,1.0,7.0,0.0
159,"Strider, Spencer",ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,"Wong, Kolten",MIL,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"Hiura, Keston",MIL,0.0,8.0,0.0,3.0,9.0,7.0,18.0,1.0,0.0
162,"Yelich, Christian",MIL,1.0,20.0,80.0,5.0,1.0,0.0,0.0,0.0,0.0
163,"García, Avisaíl",MIL,0.0,0.0,20.0,73.0,21.0,6.0,0.0,0.0,0.0
164,"Shaw, Travis",MIL,0.0,1.0,5.0,21.0,9.0,9.0,3.0,0.0,0.0
165,"Cain, Lorenzo",MIL,6.0,13.0,1.0,1.0,5.0,15.0,8.0,16.0,5.0
166,"Narváez, Omar",MIL,0.0,13.0,11.0,29.0,37.0,5.0,6.0,1.0,0.0
