,player,team,b1,b2,b3,b4,b5,b6,b7,b8,b9
138,"Bryant, Kris",CHC,16.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0
139,"Rizzo, Anthony",CHC,3.0,38.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
140,"Báez, Javier",CHC,0.0,0.0,32.0,12.0,5.0,3.0,5.0,0.0,0.0
141,"Schwarber, Kyle",CHC,1.0,1.0,2.0,33.0,17.0,2.0,0.0,0.0,0.0
142,"Contreras, Willson",CHC,0.0,4.0,8.0,11.0,26.0,7.0,0.0,0.0,0.0
143,"Heyward, Jason",CHC,0.0,0.0,1.0,2.0,2.0,28.0,15.0,1.0,0.0
144,"Caratini, Victor",CHC,0.0,1.0,0.0,0.0,0.0,2.0,14.0,13.0,7.0
145,"Hoerner, Nico",CHC,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,19.0
146,"Happ, Ian",CHC,37.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,7.0
147,"Kipnis, Jason",CHC,0.0,0.0,0.0,0.0,0.0,2.0,5.0,15.0,15.0
148,"Souza Jr., Steven",CHC,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0
149,"Bote, David",CHC,1.0,1.0,0.0,0.0,1.0,7.0,10.0,11.0,4.0
150,"Almora Jr., Albert",CHC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
151,"Phegley, Josh",CHC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
152,"Pérez, Hernán",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153,"Martínez, José",CHC,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0
154,"Maybin, Cameron",CHC,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,1.0
155,"Vargas, Ildemaro",CHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
156,"Hamilton, Billy",CHC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"Marte, Ketel",ARI,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,"Peralta, David",ARI,0.0,3.0,1.0,21.0,7.0,19.0,1.0,1.0,0.0
159,"Marte, Starling",ARI,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
160,"Escobar, Eduardo",ARI,0.0,0.0,1.0,16.0,20.0,16.0,0.0,0.0,0.0
161,"Walker, Christian",ARI,0.0,0.0,25.0,9.0,22.0,0.0,0.0,0.0,0.0
162,"Calhoun, Kole",ARI,17.0,12.0,0.0,14.0,6.0,4.0,0.0,0.0,0.0
163,"Kelly, Carson",ARI,0.0,0.0,0.0,0.0,0.0,2.0,11.0,3.0,19.0
164,"Lamb, Jake",ARI,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,1.0
165,"Ahmed, Nick",ARI,0.0,2.0,0.0,0.0,1.0,7.0,24.0,2.0,20.0
166,"Vogt, Stephen",ARI,0.0,1.0,0.0,0.0,0.0,4.0,9.0,7.0,0.0
167,"Cron, Kevin",ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
168,"Vargas, Ildemaro",ARI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
169,"Jay, Jon",ARI,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,8.0
170,"Locastro, Tim",ARI,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
171,"Varsho, Daulton",ARI,5.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,6.0
172,"Young, Andrew",ARI,1.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0
173,"Rojas, Josh",ARI,8.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0
174,"Mathisen, Wyatt",ARI,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0
175,"VanMeter, Josh",ARI,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
176,"Smith, Pavin",ARI,0.0,2.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0
177,"Muncy, Max",LAD,5.0,9.0,8.0,15.0,10.0,7.0,4.0,0.0,0.0
178,"Betts, Mookie",LAD,42.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,"Bellinger, Cody",LAD,0.0,0.0,10.0,29.0,8.0,8.0,1.0,0.0,0.0
180,"Turner, Justin",LAD,0.0,0.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0
181,"Seager, Corey",LAD,0.0,39.0,1.0,0.0,7.0,4.0,1.0,0.0,0.0
182,"Hernández, Enrique",LAD,0.0,0.0,0.0,0.0,1.0,1.0,7.0,15.0,8.0
183,"Pederson, Joc",LAD,9.0,0.0,1.0,0.0,4.0,6.0,12.0,5.0,1.0
184,"Pollock, AJ",LAD,3.0,1.0,6.0,4.0,10.0,13.0,6.0,3.0,1.0
185,"Barnes, Austin",LAD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0
186,"Taylor, Chris",LAD,0.0,0.0,3.0,0.0,11.0,15.0,13.0,6.0,1.0
187,"Smith, Will",LAD,0.0,0.0,0.0,1.0,9.0,4.0,3.0,7.0,10.0
