,player,realised_curr,realised_prev,mean_pos_curr,mean_pos_prev,ngames_curr,ngames_prev,volatility,curr_projection,future_projection
95,Avisail Garcia,515.0,558.9000000000001,4.108333333333333,2.86,120.0,135.0,0.014293672839506173,579.2384000000001,541.8277916666666
96,Travis Shaw,250.0,486.00000000000006,4.604166666666667,4.953488372093023,48.0,116.10000000000001,0.008506941836261177,516.860546511628,250.0
97,Lorenzo Cain,286.0,56.7,5.4714285714285715,4.8,70.0,13.5,0.007562358276643991,304.11150000000004,286.0
98,Omar Narvaez,445.0,340.20000000000005,4.313725490196078,6.9375,102.0,86.4,0.010043400274734075,419.38856250000003,504.28400980392155
99,Luis Urias,570.0,324.0,5.0227272727272725,6.806451612903226,132.0,83.7,0.004912529100165085,412.9115967741935,558.0030227272728
100,Jackie Bradley Jr.,428.0,585.9000000000001,6.84,6.925925925925926,100.0,145.8,0.001374074074074074,542.3819074074074,464.4961
101,Orlando Arcia,89.0,510.3,6.0625,7.846153846153846,16.0,140.4,0.007604474852071007,493.1848846153846,89.0
102,Manny Pina,208.0,121.50000000000001,7.019230769230769,6.916666666666667,52.0,32.400000000000006,0.004634195339323546,310.29658333333333,208.0
103,Daniel Vogelbach,258.0,367.20000000000005,3.4363636363636365,6.0,55.0,2.7,0.0331129476584022,444.4995,258.0
104,Daniel Robertson,90.0,64.80000000000001,7.785714285714286,7.2,14.0,13.5,0.019625850340136055,278.4375,90.0
105,Jace Peterson,302.0,164.70000000000002,5.924242424242424,7.2,66.0,40.5,0.004793388429752066,328.38750000000005,412.83775757575756
106,Billy McKinney,300.0,8.100000000000001,6.157894736842105,7.0,19.0,2.7,0.02092951677439212,252.56449999999998,408.9439736842105
107,Tyrone Taylor,271.0,110.7,4.964285714285714,7.375,56.0,21.6,0.011018990929705215,299.220125,271.0
108,Jacob Nottingham,45.0,145.8,8.0,9.0,3.0,43.2,0.05555555555555555,296.6445,45.0
109,Willy Adames,555.0,553.5,3.2708333333333335,5.96078431372549,96.0,137.70000000000002,0.011619921491199966,538.1351862745098,572.2002291666666
110,Tim Lopes,11.0,407.70000000000005,7.0,6.815789473684211,1.0,102.60000000000001,0.013542628501077254,454.64594736842105,11.0
111,Derek Fisher,8.0,105.30000000000001,6.0,8.090909090909092,1.0,29.700000000000003,0.0371900826446281,287.6535909090909,8.0
112,Rowdy Tellez,325.0,342.90000000000003,6.382352941176471,5.035714285714286,34.0,75.60000000000001,0.004188440081915119,444.2921785714286,418.6640588235294
113,Eduardo Escobar,599.0,599.4000000000001,3.347826086956522,4.962264150943396,46.0,143.10000000000002,0.008629245466214942,573.4518584905661,593.2466739130434
114,Tommy Edman,691.0,612.9000000000001,2.0454545454545454,1.7962962962962963,154.0,145.8,0.0280264078030098,619.4123703703704,655.3765454545455
115,Paul Goldschmidt,679.0,623.7,2.3630573248407645,3.0,157.0,156.60000000000002,0.022538665079944644,609.9045,645.4430350318471
116,Nolan Arenado,653.0,542.7,3.611464968152866,3.6875,157.0,129.60000000000002,0.00032118478155525825,560.8898125000001,616.9815063694268
117,Paul DeJong,402.0,469.8,6.31,4.311111111111111,100.0,121.50000000000001,0.005517078189300413,516.7163888888889,458.06015
118,Tyler O'Neill,537.0,423.90000000000003,4.469230769230769,6.348837209302325,130.0,116.10000000000001,0.005319246076828137,468.52915116279075,548.3580769230769
119,Yadier Molina,473.0,421.20000000000005,5.228813559322034,6.119047619047619,118.0,113.4,0.005922099227936357,470.0250952380953,506.9506440677966
120,Dylan Carlson,619.0,321.3,2.924137931034483,7.387096774193548,145.0,83.7,0.012045631112942339,404.3703064516129,608.494051724138
121,Justin Williams,137.0,16.200000000000003,7.4375,8.0,32.0,5.4,0.015950520833333332,244.22950000000003,137.0
122,Austin Dean,38.0,18.900000000000002,7.0,7.5,4.0,5.4,0.003472222222222222,251.77200000000002,38.0
123,Matt Carpenter,249.0,456.3,5.4772727272727275,5.6521739130434785,44.0,124.2,0.0009917767640314468,493.3573260869565,249.0
124,Lane Thomas,264.0,108.0,7.9,8.6,10.0,27.0,0.025000000000000005,282.69849999999997,264.0
125,Andrew Knizner,185.0,45.900000000000006,7.767441860465116,7.75,43.0,10.8,0.0002948290367165434,262.17575,185.0
126,Harrison Bader,401.0,337.5,7.098039215686274,8.805555555555555,102.0,97.2,0.024465453695397307,394.9026944444444,447.80028431372546
127,Ali Sanchez,4.0,27.0,8.0,9.0,1.0,10.8,0.05555555555555555,237.2445,4.0
128,Ian Happ,535.0,623.7,3.87603305785124,2.925925925925926,121.0,145.8,0.012143382731727152,610.8219074074075,554.7048305785124
129,Willson Contreras,483.0,607.5,2.769911504424779,4.428571428571429,113.0,151.20000000000002,0.006358503718792449,584.1116428571429,542.4041460176991
130,Anthony Rizzo,576.0,656.1,3.1868131868131866,2.2280701754385963,91.0,153.9,0.015256378436596187,635.664850877193,583.7408186813186
131,Kris Bryant,586.0,396.90000000000003,2.5555555555555554,2.0,90.0,94.5,0.009870244394053918,508.8895,596.5589444444445
132,Joc Pederson,481.0,372.6,4.488372093023256,5.2894736842105265,43.0,102.60000000000001,0.0017276605973198726,455.9993684210526,520.1210116279069
133,Javier Baez,547.0,634.5,3.941860465116279,3.8947368421052633,86.0,153.9,0.0011255907504759545,604.2231842105264,559.8895581395349
134,Jason Heyward,353.0,488.70000000000005,6.293478260869565,6.163265306122449,92.0,132.3,0.0007414792556941503,503.2274591836735,433.7647717391304
135,David Bote,327.0,391.5,5.949367088607595,6.9714285714285715,79.0,94.5,0.002755692460181209,444.6183571428571,425.02658860759493
136,Jake Marisnick,198.0,91.80000000000001,6.37037037037037,7.125,27.0,21.6,0.0033662456180460296,292.866375,198.0
137,Eric Sogard,180.0,345.6,7.421052631578948,4.9655172413793105,38.0,78.30000000000001,0.011190034142033642,446.51156896551726,180.0
138,Tony Wolters,30.0,294.3,8.2,8.971428571428572,5.0,94.5,0.03306122448979592,371.2483571428571,30.0
139,Austin Romine,62.0,364.5,7.071428571428571,7.783783783783784,14.0,99.9,0.007098590592799086,421.05733783783785,62.0
140,Nico Hoerner,170.0,340.20000000000005,6.930232558139535,8.303030303030303,43.0,89.10000000000001,0.01214222519760321,402.47646969696973,170.0
141,Ildemaro Vargas,83.0,145.8,7.4,8.5,5.0,5.4,0.009444444444444445,302.837,83.0
142,Sergio Alcantara,255.0,62.1,7.769230769230769,9.0,65.0,18.900000000000002,0.04273504273504273,254.79449999999997,255.0
143,Robinson Chirinos,112.0,221.4,6.7272727272727275,9.0,22.0,27.0,0.03810835629017447,334.4445,112.0
144,Andrew Romine,64.0,10.8,7.866666666666666,8.0,15.0,2.7,0.006172839506172841,241.5295,64.0
145,Michael Hermosillo,38.0,27.0,4.285714285714286,8.0,7.0,5.4,0.018424036281179137,249.6295,38.0
146,Josh Rojas,550.0,189.0,2.7815126050420167,3.0,119.0,43.2,0.0013347250664971872,392.55449999999996,575.7604663865546
147,Ketel Marte,374.0,526.5,1.9024390243902438,1.6444444444444444,82.0,121.50000000000001,0.003697844626744972,578.0930555555556,498.6477926829268
148,Christian Walker,445.0,656.1,4.44,3.9464285714285716,100.0,151.20000000000002,0.010014880952380952,614.3829821428571,502.7201
149,David Peralta,538.0,588.6,4.580645161290323,4.849056603773585,124.0,143.10000000000002,0.001239090314768351,569.4539339622642,547.4782096774193
150,Asdrubal Cabrera,352.0,575.1,3.782608695652174,4.313725490196078,69.0,137.70000000000002,0.00955612939007431,569.3340098039216,464.3618913043478
