,#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
94,93,Tony Kemp,OAK,9,33,37,10,10,0,0,0,4,2,4,0,4,0,0,0,1,1,0,.303
95,94,Francisco Mejia,TBR,6,20,21,6,5,0,0,1,3,7,0,0,7,0,1,0,0,0,0,.300
96,95,Alex Verdugo,BOS,9,30,36,9,5,1,0,3,3,8,4,1,3,0,2,0,1,0,0,.300
97,96,Jake Burger,CHW,6,20,22,6,4,1,0,1,3,4,1,0,6,0,0,1,0,0,0,.300
98,97,C.J. Cron,COL,9,37,39,11,4,1,1,5,7,10,1,0,10,1,0,0,0,0,0,.297
99,98,Hunter Dozier,KCR,7,27,28,8,6,0,1,1,3,3,0,0,4,1,0,0,0,0,1,.296
100,99,Rowdy Tellez,MIL,9,27,30,8,4,3,0,1,5,5,3,0,6,0,0,0,1,0,0,.296
101,100,Luis Arraez,MIN,8,27,29,8,6,1,0,1,2,4,2,0,2,0,0,0,0,0,1,.296
102,101,J.T. Realmuto,PHI,9,34,37,10,8,1,0,1,6,2,3,0,11,0,0,0,0,1,0,.294
103,102,Corey Seager,TEX,8,34,37,10,8,1,0,1,5,7,3,1,7,0,0,0,1,0,0,.294
104,103,Harold Ramirez,TBR,6,17,18,5,3,2,0,0,2,2,0,0,4,0,1,0,0,0,1,.294
105,104,Ernie Clement,CLE,6,17,21,5,4,1,0,0,4,1,2,0,5,2,0,0,0,0,0,.294
106,105,Daniel Vogelbach,PIT,7,24,26,7,5,1,0,1,6,2,2,1,7,0,0,0,0,0,0,.292
107,106,Xander Bogaerts,BOS,8,31,33,9,6,2,0,1,6,4,2,0,10,0,0,0,1,0,0,.290
108,107,Ty France,SEA,10,38,45,11,7,2,0,2,4,9,5,0,6,2,0,0,0,0,0,.289
109,108,Vladimir Guerrero Jr.,TOR,10,38,40,11,5,1,0,5,7,10,2,1,11,0,0,0,0,0,1,.289
110,109,Juan Soto,WSN,11,38,50,11,7,1,0,3,8,3,12,0,7,0,0,0,0,0,0,.289
111,110,Jean Segura,PHI,6,21,23,6,3,1,0,2,3,2,1,0,3,1,0,0,1,0,0,.286
112,111,Jose Iglesias,COL,6,21,24,6,5,1,0,0,2,2,1,0,4,2,0,0,1,0,0,.286
113,112,Willson Contreras,CHC,7,28,32,8,3,3,0,2,7,3,2,0,7,2,0,0,3,0,0,.286
114,113,Stephen Piscotty,OAK,5,14,17,4,4,0,0,0,1,1,2,0,5,1,0,0,0,1,0,.286
115,114,Brian Anderson,MIA,7,21,25,6,4,2,0,0,4,0,3,0,10,1,0,0,0,0,0,.286
116,115,Andrew McCutchen,MIL,10,39,42,11,8,3,0,0,3,5,1,0,5,1,1,0,0,2,1,.282
117,116,Diego Castillo,PIT,7,25,25,7,6,1,0,0,3,2,0,0,4,0,0,0,0,0,0,.280
118,117,Brandon Drury,CIN,8,18,20,5,1,2,0,2,2,4,2,0,4,0,0,0,0,0,1,.278
119,118,Ryan Mountcastle,BAL,9,36,38,10,9,0,0,1,2,3,2,0,8,0,0,0,0,0,0,.278
120,119,Miguel Cabrera,DET,9,29,33,8,6,2,0,0,3,3,3,0,8,0,1,0,0,0,0,.276
121,120,Tyler O'Neill,STL,8,29,35,8,6,1,0,1,6,6,4,0,6,0,2,0,1,0,0,.276
122,121,Maikel Franco,WSN,11,40,43,11,7,3,0,1,3,8,2,0,10,0,1,0,1,0,0,.275
123,122,Michael Brantley,HOU,8,33,36,9,6,2,0,1,3,4,3,1,6,0,0,0,0,0,1,.273
